field,defined_by,lower_count_partplant,upper_count_partplant,lower_count_wholeplant,upper_count_wholeplant,notes
fruits present,{fruit presence},1,,1,,
expanded leaves present,{unfolded true leaf presence},1,,1,,
expanding leaves present,{unfolding true leaf presence},1,,1,,
flowers absent,{flower presence},0,0,0,,
leaves absent,{true leaf presence},0,0,0,,
opened flowers present,{open flower presence},1,,1,,
senesced flowers present,{senesced flower presence},1,,1,,
unopened flowers present,{unopened flower presence},1,,1,,
fruits absent,{fruit presence},0,0,0,,
expanded leaves absent,{unfolded true leaf presence},0,0,0,,
expanding leaves absent,{unfolding true leaf presence},0,0,0,,
opened flowers absent,{open flower presence},0,0,0,,
senesced flowers absent,{senesced flower presence},0,0,0,,
unopened flowers absent,{unopened flower presence},0,0,0,,
